selection file, result

1

[324, 2.0, 1.0, 0.0, 1.0, 1.0]
[206, 1.0, 1.0, 0.0, 0.0, 0.0]
[166, 2.0, 0.0, 0.0, 1.0, 0.0]
[182, 4.0, 0.0, 1.0, 1.0, 0.0]
[204, 3.0, 1.0, 1.0, 0.0, 0.0]
[189.0, 2.0, 1.0, 0.0, 0.0, 0.0]
[200, 2.0, 0.0, 0.0, 0.0, 1.0]
[204, 3.0, 1.0, 0.0, 0.0, 1.0]
[177, 4.0, 0.0, 0.0, 1.0, 1.0]
[101.0, 3.0, 0.0, 0.0, 1.0, 0.0]

2

[324, 2.0, 1.0, 0.0, 1.0, 1.0]
[206, 1.0, 1.0, 0.0, 0.0, 0.0]
[166, 2.0, 0.0, 0.0, 1.0, 0.0]
[182, 4.0, 0.0, 1.0, 1.0, 0.0]
[204, 3.0, 1.0, 1.0, 0.0, 0.0]
[189.0, 2.0, 1.0, 0.0, 0.0, 0.0]
[200, 2.0, 0.0, 0.0, 0.0, 1.0]
[204, 3.0, 1.0, 0.0, 0.0, 1.0]
[177, 4.0, 0.0, 0.0, 1.0, 1.0]
[101.0, 3.0, 0.0, 0.0, 1.0, 0.0]

3

[324, 2.0, 1.0, 0.0, 1.0, 1.0]
[206, 1.0, 1.0, 0.0, 0.0, 0.0]
[166, 2.0, 0.0, 0.0, 1.0, 0.0]
[182, 4.0, 0.0, 1.0, 1.0, 0.0]
[204, 3.0, 1.0, 1.0, 0.0, 0.0]
[189.0, 2.0, 1.0, 0.0, 0.0, 0.0]
[200, 2.0, 0.0, 0.0, 0.0, 1.0]
[204, 3.0, 1.0, 0.0, 0.0, 1.0]
[177, 4.0, 0.0, 0.0, 1.0, 1.0]
[101.0, 3.0, 0.0, 0.0, 1.0, 0.0]

4

[324, 2.0, 1.0, 0.0, 1.0, 1.0]
[207, 0.0, 1.0, 0.0, 0.0, 0.0]
[162, 2.0, 0.0, 0.0, 1.0, 0.0]
[166, 4.0, 0.0, 1.0, 1.0, 0.0]
[108.0, 4.0, 1.0, 1.0, 0.0, 0.0]
[200, 1.0, 0.0, 0.0, 0.0, 1.0]
[199, 2.0, 0.0, 0.0, 0.0, 1.0]
[204, 3.0, 1.0, 0.0, 0.0, 1.0]
[166, 4.0, 0.0, 0.0, 1.0, 1.0]
[100.0, 3.0, 0.0, 0.0, 1.0, 0.0]

5

[324, 2.0, 1.0, 0.0, 1.0, 1.0]
[207, 0.0, 1.0, 0.0, 0.0, 0.0]
[162, 2.0, 0.0, 0.0, 1.0, 0.0]
[166, 4.0, 0.0, 1.0, 1.0, 0.0]
[108.0, 4.0, 1.0, 1.0, 0.0, 0.0]
[200, 1.0, 0.0, 0.0, 0.0, 1.0]
[199, 2.0, 0.0, 0.0, 0.0, 1.0]
[204, 3.0, 1.0, 0.0, 0.0, 1.0]
[166, 4.0, 0.0, 0.0, 1.0, 1.0]
[100.0, 3.0, 0.0, 0.0, 1.0, 0.0]

6

[324, 2.0, 1.0, 0.0, 1.0, 1.0]
[207, 0.0, 1.0, 0.0, 0.0, 0.0]
[162, 2.0, 0.0, 0.0, 1.0, 0.0]
[166, 4.0, 0.0, 1.0, 1.0, 0.0]
[108.0, 4.0, 1.0, 1.0, 0.0, 0.0]
[200, 1.0, 0.0, 0.0, 0.0, 1.0]
[199, 2.0, 0.0, 0.0, 0.0, 1.0]
[204, 3.0, 1.0, 0.0, 0.0, 1.0]
[166, 4.0, 0.0, 0.0, 1.0, 1.0]
[100.0, 3.0, 0.0, 0.0, 1.0, 0.0]
